,nodeID,Y_BSsum,X3_Hyb,X2_Err,X1_ILS,,
1,90,NA,,,NA,root,
2,91,NA,7.08E-05,100,0.007452573,OT,
3,92,82.4,0.00013519,96,0.006778139,OT,
4,93,99.2,0,100,0.019264111,OT,
5,94,98.6,0.000264236,100,0.016985428,OT,
6,95,96.6,0.000337998,100,0.00651609,OT,
7,96,73.1,0.00017819,99,0.005961825,OT,
8,97,84.7,0.000396354,100,0.004401213,OT,
9,98,NA,0.047864587,100,0.007452573,IN,
10,99,96.9,0.101434568,100,0.011681003,IN,
11,100,70,0.115735236,100,0.003023022,IN,
12,101,51.1,0.089501791,98,0.003314179,IN,
13,102,24,0.108784747,94,0.010588671,IN,
14,103,35.8,0.154974237,100,0.003355137,IN,
15,104,98.2,0.001446999,99,0.010240233,IN,
16,105,51.2,0.009056168,98,0.005152568,IN,
17,106,80.8,0.014147787,100,0.002673823,IN,
18,107,73.7,0.01336422,100,0.002140308,IN,
19,108,55.6,0.011494253,100,0.002132849,IN,
20,109,82.9,0.015272459,100,0.002122402,IN,
21,110,44.4,0.016469687,100,0.002716444,IN,
22,111,44.7,0.015682033,100,0.002234863,IN,
23,112,61.2,0.015722024,100,0.002193373,IN,
24,113,46.5,0.017043203,100,0.002556339,IN,
25,114,34.9,0.01204028,99,0.003802915,IN,
26,115,63,0.01985182,100,0.001974149,IN,
27,116,37.3,0.02145373,100,0.002711975,IN,
28,117,60.7,0.022193513,100,0.001902059,IN,
29,118,33.7,0.021777194,100,0.003074816,IN,
30,119,17.9,0.020954441,98,0.010813484,IN,
31,120,31.7,0.020610384,100,0.002886768,IN,
32,121,27.9,0.020610384,100,0.003914197,IN,
33,122,10.8,0.006379506,62,0.015170216,IN,
34,123,12.1,0.007145213,99,0.002173444,IN,
35,124,5.97,0.02745557,89,0.008434478,IN,oak
36,125,9.08,0.03224171,73,0.00767627,IN,oak
37,126,71.3,0.00683022,100,0.00302689,IN,oak
38,127,10.7,0.006907004,90,0.01111741,IN,oak
39,128,8.44,0.014896684,98,0.006574267,IN,oak
40,129,8.75,0.01833005,99,0.010343408,IN,oak
41,130,6.37,0.021361455,100,0.004515948,IN,oak
42,131,13.6,0.021293656,100,0.002910548,IN,oak
43,132,15,0.021931563,100,0.015807654,IN,oak
44,133,7.16,0.02187053,100,0.004971106,IN,oak
45,134,6.58,0.02216021,100,0.004715103,IN,oak
46,135,7.96,0.022510647,100,0.008314526,IN,oak
47,136,10.9,0.021650036,100,0.022843485,IN,oak
48,137,13.1,0.022327917,100,0.007145648,IN,oak
49,138,35.7,0.038181021,100,0.002246498,IN,oak
50,139,23.4,0.019779045,95,0.009098494,IN,oak
51,140,26.7,0.017571674,100,0.00470915,IN,oak
52,141,36.7,0.038782987,100,0.002424945,IN,oak
53,142,17.8,0.038203793,100,0.002923653,IN,oak
54,143,18.3,0.036992998,100,0.004863094,IN,oak
55,144,3.45,0.038708281,88,0.014391643,IN,oak
56,145,10.9,0.039914469,100,0.008336081,IN,oak
57,146,41.3,0.040692298,100,0.003630592,IN,oak
58,147,2.39,0.038161037,99,0.007291214,IN,oak
59,148,1.57,0.03323976,99,0.006580205,IN,oak
60,149,2.08,0.031842171,99,0.008268681,IN,oak
61,150,8.53,0.033677833,100,0.005955421,IN,oak
62,151,18.4,0.033293698,100,0.003530138,IN,oak
63,152,5.69,0.028995022,99,0.006716426,IN,oak
64,153,31.6,0.032368873,100,0.003799637,IN,oak
65,154,27.8,0.025481112,100,0.003113089,IN,oak
66,155,26.2,0.022327917,100,0.003866297,IN,oak
67,156,9.52,0.036152619,100,0.002960924,IN,oak
68,157,14.1,0.029815635,100,0.002339042,IN,oak
69,158,24.2,0.01532567,100,0.002777418,IN,oak
70,159,7.96,0.038667142,77,0.011381188,IN,oak
71,160,16,0.043466772,100,0.005003841,IN,oak
72,161,9.64,0.038842387,100,0.003490463,IN,oak
73,162,13.3,0.042938301,100,0.006791595,IN,oak
74,163,10.2,0.034479686,100,0.005153726,IN,oak
75,164,10.9,0.03871053,100,0.0106336,IN,oak
76,165,8.77,0.025204048,91,0.004679447,IN,oak
77,166,26.9,0.028340081,100,0.003474544,IN,oak
78,167,31.2,0.02827322,100,0.006038949,IN,oak
79,168,75.8,0.02712651,100,0.002753674,IN,oak
80,169,55.1,0.025498745,100,0.002357034,IN,oak
81,170,34.9,0.026537536,100,0.002747076,IN,oak
82,171,26.5,0.025888874,100,0.002718552,IN,oak
83,172,24.2,0.024970273,100,0.004066894,IN,oak
84,173,28.3,0.025630863,100,0.003950558,IN,oak
85,174,47.1,0.015810493,100,0.002427661,IN,oak
86,175,75.2,0.014665081,100,0.00242392,IN,oak
87,176,73.6,0.016037063,100,0.002123084,IN,oak
88,177,73.5,0.014929317,100,0.001847785,IN,oak
